id,subsystem,path,symbol,candidate_type,description,static_evidence,runtime_or_registration_evidence,test_coverage,risk,confidence,possible_canonical_component,recommended_phase,proposed_action,decision,notes
C001,flask,app/__init__.py,csrf,redefinition,Duplicate csrf import/assignment,Ruff F811 lines 9 and 14,Factory imports extensions csrf,indirect factory tests,high,high,extensions.csrf,1,inspect then remove only redundant binding,PROBABLY_DEAD,Factory startup contract
C002,flask,app/__init__.py,flask.app,redundant import,Ruff F401 line 1,Flask factory uses local app only,indirect,medium,high,,1,remove after focused factory smoke,PROBABLY_DEAD,No behaviour change intended
C003,cli,app/cli.py,attrs/redefinition,redefinition,Click group/function names redefined,Ruff F811 lines 735/749 and 754,init_app registers attrs dynamically,CLI security only,critical,medium,,1,compare resulting Click commands before any removal,UNKNOWN,Dynamic command registration
C004,cli,app/cli.py,CATEGORIES,unused variable,Ruff F841 line 469,within demo seed path,manual/demo,medium,high,,1,remove only after CLI output comparison,PROBABLY_DEAD,Operator command
C005,models,app/models/*.py,datetime imports,unused import,Repeated model imports,Ruff F401 across 17 model modules,MongoEngine imports may support annotations only,indirect,high,high,,1,one-file-at-a-time import removal with model tests,PROBABLY_DEAD,No schema change
C006,docpacks,app/services/docpacks.py,force_proc_filter,unused variable,Ruff F841 line 2635,large document pipeline,docpack suite,high,medium,,1,trace branch before removal,UNKNOWN,High-output-risk service
C007,search,app/services/field_config.py,normalize_processes,unused import,Ruff F401,called dynamically elsewhere but imported symbol unused here,field config tests,high,high,processmeta.normalize_processes,1,remove import only with focused tests,PROBABLY_DEAD,Not helper consolidation
C008,views,app/views/whereused.py,login_required/redefinition,redefinition,Ruff F811 lines 3/18,Blueprint decorators dynamically invoke imported symbols,whereused test,critical,medium,,1,inspect decorator equivalence,UNKNOWN,Auth route risk
C009,templates/assets,app/static/parts-ui,compiled bundle,generated artefact,Committed Vite assets,referenced by factory manifest lookup and react shell,template smoke,high,high,,6,retain; audit generation/deploy path,GENERATED_OR_VENDOR,Do not delete in Phase 1
C010,solidworks,solidworks-addin,COM callbacks,unknown dynamic use,Static C# analysis not sufficient,COM-visible add-in and event handlers,44 tests plus manual,critical,high,,9,metadata/callback audit only,UNKNOWN,No automated deletion
C011,deployment,deploy/scripts/*.sh,operator scripts,possible dead module,No inbound-script use is insufficient,README/deploy docs invoke create/update/rollback/link/scan,manual,critical,high,,8,retain unless documentation and help disprove use,UNKNOWN,Operator surface
C012,dependencies,requirements.txt,document libraries,unused dependency,No dependency usage inventory completed,imports in docpack/image services and Docker system tools,feature tests,high,low,,7,create import/runtime inventory first,UNKNOWN,No removal authorised
C013,configuration,app/__init__.py,FILE_ROOT_* aliases,duplicated configuration,Canonical FILES_* and compatibility aliases coexist,environment and route reads use both,file source/security tests,critical,high,FILES_*,7,document alias consumers before migration,LEGACY_COMPATIBILITY,Do not change now
C014,configuration,app/__init__.py,HARDWARE_FOLDER/HARDWARE_FOLDERS,duplicated configuration,Two environment names resolve same setting,factory config and docs may differ,BOM import tests,high,medium,HARDWARE_FOLDERS,7,document all supported names,LEGACY_COMPATIBILITY,Compatibility evidence
C015,tests,tests/test_part_drawing_markups.py,part,unused variable,Ruff F841 three locations,only test locals,markup tests,low,high,,1,remove in test-only cleanup,PROBABLY_DEAD,Safe separate candidate
C016,frontend,frontend,automated tests,missing test,No npm test script in package.json,React routes built into committed assets,build only,medium,high,,6,add focused frontend tests later,TEST_DEFICIENCY,Not dead code
C017,solidworks,solidworks-addin/TinyMRP.SolidWorksAddin.Tests/PublisherTests.cs,HasIncompleteExportSession_RejectsLegacySchemaVersion,test deficiency resolved,Test shared the real user AppData export-session path,previous 43/44 WinError 32; now 44/44 twice after unique temporary APPDATA isolation,C# unit tests,medium,high,,0B,retain test-only isolation and rerun twice,INTENTIONALLY_SEPARATE,Production path/schema unchanged
C018,formatting,repository,black formatting,obsolete style debt,Black check reports 125 files,CI explicitly non-blocking,all,medium,high,,future,do not mix with cleanup,INTENTIONALLY_SEPARATE,Not Phase 1
C019,dependencies,frontend/package-lock.json,react-router-dom,dependency security concern,npm audit reports two high vulnerabilities through react-router,npm audit --omit=dev --audit-level=high exited 1,frontend has no automated tests,high,high,,7,assess supported upgrade and route regression plan,UNKNOWN,Do not upgrade during cleanup Phase 0
